xlsdate,source,target,queueType,queueName,starttime,interval(s),posted_message,posted_transaction,postedrollbacks,postedrollbackOpe,postedsmalltran,postedbigtran,postedmaxtran,postedInsert,postedUpdate,postedDelete,backlog
2016-Oct-16 23:44:35,o.orcl,o.orcl,Post,t1,13-Oct-16 09:37:36,600, 19376, 8377, 0, 0, 8375, 0, 1000, 18376, 0, 1000,0
2016-Oct-16 23:44:35,o.orcl,o.orcl,Post,t2,13-Oct-16 09:37:36,600, 68377, 8376, 0, 0, 8375, 1, 30000, 68377, 0, 0,0
2016-Oct-16 23:44:37,o.orcl,o.orcl,Post,t1,13-Oct-16 09:37:36,600, 19396, 8397, 0, 0, 8395, 0, 1000, 18396, 0, 1000,0
2016-Oct-16 23:44:38,o.orcl,o.orcl,Post,t2,13-Oct-16 09:37:36,600, 68397, 8396, 0, 0, 8395, 1, 30000, 68397, 0, 0,0
2016-Oct-16 23:44:39,o.orcl,o.orcl,Post,t1,13-Oct-16 09:37:36,600, 19406, 8407, 0, 0, 8405, 0, 1000, 18406, 0, 1000,0
2016-Oct-16 23:44:39,o.orcl,o.orcl,Post,t2,13-Oct-16 09:37:36,600, 68417, 8416, 0, 0, 8415, 1, 30000, 68417, 0, 0,0
2016-Oct-16 23:44:41,o.orcl,o.orcl,Post,t1,13-Oct-16 09:37:36,600, 19425, 8426, 0, 0, 8424, 0, 1000, 18425, 0, 1000,0
2016-Oct-16 23:44:41,o.orcl,o.orcl,Post,t2,13-Oct-16 09:37:36,600, 68426, 8425, 0, 0, 8424, 1, 30000, 68426, 0, 0,0
2016-Oct-16 23:44:42,o.orcl,o.orcl,Post,t1,13-Oct-16 09:37:36,600, 19445, 8446, 0, 0, 8444, 0, 1000, 18445, 0, 1000,0
2016-Oct-16 23:44:43,o.orcl,o.orcl,Post,t2,13-Oct-16 09:37:36,600, 68446, 8445, 0, 0, 8444, 1, 30000, 68446, 0, 0,0
2016-Oct-16 23:44:44,o.orcl,o.orcl,Post,t1,13-Oct-16 09:37:36,600, 19455, 8456, 0, 0, 8454, 0, 1000, 18455, 0, 1000,0
2016-Oct-16 23:44:44,o.orcl,o.orcl,Post,t2,13-Oct-16 09:37:36,600, 68466, 8465, 0, 0, 8464, 1, 30000, 68466, 0, 0,0
2016-Oct-16 23:44:52,o.orcl,o.orcl,Post,t1,13-Oct-16 09:37:36,600, 19532, 8533, 0, 0, 8531, 0, 1000, 18532, 0, 1000,0
2016-Oct-16 23:44:52,o.orcl,o.orcl,Post,t2,13-Oct-16 09:37:36,600, 68536, 8533, 0, 0, 8532, 1, 30000, 68536, 0, 0,0
2016-Oct-16 23:44:54,o.orcl,o.orcl,Post,t1,13-Oct-16 09:37:36,600, 19554, 8555, 0, 0, 8553, 0, 1000, 18554, 0, 1000,0
2016-Oct-16 23:44:54,o.orcl,o.orcl,Post,t2,13-Oct-16 09:37:36,600, 98564, 8564, 0, 0, 8562, 2, 30000, 98564, 0, 0,0
